,0
0,"Huckabee : FOXNEWS : December 20, 2009 8:00pm-9:00pm EST"
1,"Your World With Neil Cavuto : FOXNEWS : February 16, 2010 4:00pm-5:00pm EST"
2,"The O'Reilly Factor : FOXNEWS : March 9, 2012 5:00am-6:00am EST"
3,"The O'Reilly Factor : FOXNEWS : September 28, 2010 5:00am-6:00am EDT"
4,"FOX and Friends : FOXNEWS : October 26, 2011 6:00am-9:00am EDT"
5,"FOX and Friends : FOXNEWS : April 8, 2011 6:00am-9:00am EDT"
6,"FOX and Friends : FOXNEWS : February 1, 2011 6:00am-9:00am EST"
7,"FOX and Friends : FOXNEWS : September 28, 2010 6:00am-9:00am EDT"
8,"FOX and Friends : FOXNEWS : November 18, 2010 6:00am-9:00am EST"
9,"FOX and Friends : FOXNEWS : January 21, 2011 6:00am-9:00am EST"
10,"FOX and Friends : FOXNEWS : June 3, 2011 6:00am-9:00am EDT"
11,"FOX and Friends : FOXNEWS : January 24, 2012 6:00am-9:00am EST"
12,"FOX and Friends : FOXNEWS : December 30, 2011 6:00am-9:00am EST"
13,"FOX and Friends : FOXNEWS : November 30, 2011 6:00am-9:00am EST"
14,"FOX and Friends : FOXNEWS : November 24, 2010 6:00am-9:00am EST"
15,"FOX and Friends : FOXNEWS : November 26, 2010 6:00am-9:00am EST"
16,"FOX and Friends : FOXNEWS : June 15, 2011 6:00am-9:00am EDT"
17,"FOX and Friends : FOXNEWS : October 27, 2010 6:00am-9:00am EDT"
18,"FOX and Friends : FOXNEWS : February 21, 2012 6:00am-9:00am EST"
19,"FOX and Friends Sunday : FOXNEWS : November 6, 2011 6:00am-10:00am EST"
20,"FOX and Friends : FOXNEWS : February 15, 2011 6:00am-9:00am EST"
21,"FOX and Friends : FOXNEWS : January 6, 2012 6:00am-9:00am EST"
22,"FOX and Friends : FOXNEWS : February 16, 2012 6:00am-9:00am EST"
23,"America's Election HQ : FOXNEWS : January 10, 2012 8:00pm-11:00pm EST"
24,"FOX and Friends : FOXNEWS : January 25, 2012 6:00am-9:00am EST"
25,"FOX and Friends : FOXNEWS : November 17, 2011 6:00am-9:00am EST"
26,"FOX and Friends : FOXNEWS : May 31, 2011 6:00am-9:00am EDT"
27,"FOX and Friends : FOXNEWS : March 8, 2012 6:00am-9:00am EST"
28,"FOX and Friends : FOXNEWS : October 22, 2010 5:00am-8:00am EST"
29,"FOX and Friends : FOXNEWS : October 19, 2010 5:00am-8:00am EST"
30,"FOX and Friends : FOXNEWS : February 29, 2012 6:00am-9:00am EST"
31,"FOX and Friends : FOXNEWS : November 16, 2011 6:00am-9:00am EST"
32,"Geraldo at Large : FOXNEWS : March 6, 2011 5:00am-6:00am EST"
33,"America's Newsroom : FOXNEWS : December 13, 2011 9:00am-11:00am EST"
34,"America's Newsroom : FOXNEWS : November 9, 2011 9:00am-11:00am EST"
35,"FOX and Friends : FOXNEWS : July 6, 2011 6:00am-9:00am EDT"
36,"America's News HQ : FOXNEWS : October 31, 2010 3:00pm-5:00pm EST"
37,"America's Election Headquarters : FOXNEWS : November 4, 2012 2:00pm-3:59pm EST"
38,"The FOX Report With Shepard Smith : FOXNEWS : November 2, 2010 6:00pm-7:00pm EST"
39,"America's Election Headquarters : FOXNEWS : November 5, 2012 1:00pm-3:00pm EST"
40,"America's Election Headquarters : FOXNEWS : November 6, 2012 6:00pm-2:00am EST"
41,"America's News Headquarters : FOXNEWS : September 2, 2012 12:00pm-2:00pm EDT"
42,"America's Election Headquarters : FOXNEWS : November 8, 2011 11:00pm-12:00am EST"
43,"Greta Van Susteren : FOXNEWS : March 11, 2011 1:00am-2:00am EST"
44,"Geraldo at Large : FOXNEWS : October 25, 2010 1:00am-2:00am EDT"
45,"Red Eye : FOXNEWS : October 6, 2011 3:00am-4:00am EDT"
46,"Geraldo at Large : FOXNEWS : October 24, 2010 1:00am-2:00am EDT"
47,"The FOX Report With Shepard Smith : FOXNEWS : January 3, 2012 7:00pm-8:00pm EST"
48,"America's News Headquarters : FOXNEWS : January 21, 2012 4:00pm-6:00pm EST"
49,"America's News HQ : FOXNEWS : November 7, 2010 4:00pm-6:00pm EST"
50,"FOX and Friends : FOXNEWS : July 25, 2012 6:00am-9:00am EDT"
51,"Studio B With Shepard Smith : FOXNEWS : June 21, 2011 3:00pm-4:00pm EDT"
52,"FOX and Friends : FOXNEWS : September 30, 2009 6:00am-9:00am EDT"
53,"Hannity : FOXNEWS : December 6, 2010 3:00am-4:00am EST"
54,"Geraldo at Large : FOXNEWS : November 6, 2010 9:00pm-10:00pm EST"
55,"FOX and Friends : FOXNEWS : October 1, 2009 6:00am-9:00am EDT"
56,"Geraldo at Large : FOXNEWS : September 5, 2010 1:00am-2:00am EDT"
57,"Geraldo at Large : FOXNEWS : December 19, 2010 10:00pm-11:00pm EST"
58,"FOX and Friends : FOXNEWS : June 21, 2011 6:00am-9:00am EDT"
59,"Special Report With Bret Baier : FOXNEWS : April 20, 2011 6:00pm-7:00pm EDT"
60,"Glenn Beck : FOXNEWS : December 6, 2010 5:00am-6:00am EST"
61,"The Five : FOXNEWS : November 2, 2011 5:00pm-6:00pm EDT"
62,"Geraldo at Large : FOXNEWS : October 31, 2010 12:00am-1:00am EST"
63,"Special Report With Bret Baier : FOXNEWS : July 7, 2009 6:29pm-7:00pm EDT"
64,"Geraldo at Large : FOXNEWS : November 7, 2010 10:00pm-11:00pm EST"
65,"The O'Reilly Factor : FOXNEWS : October 1, 2009 5:00am-6:00am EDT"
66,"Geraldo at Large : FOXNEWS : November 21, 2010 1:00am-2:00am EST"
67,"Geraldo at Large : FOXNEWS : October 24, 2010 10:00pm-11:00pm EDT"
68,"Geraldo at Large : FOXNEWS : October 23, 2010 10:00pm-11:00pm EDT"
69,"The O'Reilly Factor : FOXNEWS : January 2, 2011 3:00pm-4:00pm EST"
70,"Special Report With Bret Baier : FOXNEWS : October 14, 2011 4:00am-5:00am EDT"
71,"The O'Reilly Factor : FOXNEWS : September 30, 2009 11:00pm-12:00am EDT"
72,"The O'Reilly Factor : FOXNEWS : January 2, 2011 5:00am-6:00am EST"
73,"Geraldo at Large : FOXNEWS : October 31, 2010 9:00pm-10:00pm EST"
74,"Hannity : FOXNEWS : November 8, 2010 3:00am-4:00am EST"
75,"America's Election Headquarters : FOXNEWS : November 3, 2012 6:00pm-7:00pm EDT"
76,"Red Eye : FOXNEWS : January 9, 2011 12:00am-1:00am EST"
77,"Geraldo at Large : FOXNEWS : December 4, 2010 10:00pm-11:00pm EST"
78,"Special Report With Bret Baier : FOXNEWS : October 8, 2011 4:00am-5:00am EDT"
79,"The O'Reilly Factor : FOXNEWS : May 15, 2012 8:00pm-9:00pm EDT"
80,"Geraldo at Large : FOXNEWS : November 13, 2010 10:00pm-11:00pm EST"
81,"Geraldo at Large : FOXNEWS : December 12, 2010 10:00pm-11:00pm EST"
82,"FOX and Friends Sunday : FOXNEWS : October 2, 2011 6:00am-10:00am EDT"
83,"FOX and Friends Saturday : FOXNEWS : August 14, 2010 7:00am-10:00am EDT"
84,"America Live : FOXNEWS : September 19, 2011 1:00pm-3:00pm EDT"
85,"Red Eye : FOXNEWS : December 15, 2010 3:00am-4:00am EST"
86,"FOX and Friends : FOXNEWS : July 3, 2009 6:00am-9:00am EDT"
87,"Geraldo at Large : FOXNEWS : October 30, 2010 9:00pm-10:00pm EST"
88,"Geraldo at Large : FOXNEWS : November 14, 2010 10:00pm-11:00pm EST"
